"siteId","year","p17","p50","p83","lon","lat","measurementName"
2656,2005,0,0,0,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2020,0.04,0.06,0.1,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2030,0.08,0.11,0.16,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2040,0.11,0.16,0.24,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2050,0.15,0.21,0.33,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2060,0.18,0.25,0.42,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2070,0.22,0.31,0.5,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2080,0.24,0.35,0.6,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2090,0.28,0.4,0.7,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2100,0.3,0.46,0.81,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2110,0.33,0.53,0.92,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2120,0.36,0.58,1.03,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2130,0.38,0.63,1.14,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2140,0.4,0.68,1.25,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2150,0.42,0.74,1.36,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2160,0.45,0.8,1.47,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2170,0.47,0.85,1.58,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2180,0.49,0.91,1.7,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2190,0.5,0.96,1.82,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2200,0.52,1.02,1.94,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
2656,2210,0.54,1.08,2.06,174.7836,-39.8585,"SSP1-2.6 (low confidence)"
