"siteId","year","p17","p50","p83","lon","lat","measurementName"
2345,2005,0,0,0,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2020,0.04,0.06,0.09,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2030,0.08,0.11,0.16,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2040,0.11,0.16,0.24,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2050,0.15,0.21,0.33,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2060,0.18,0.25,0.42,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2070,0.22,0.31,0.5,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2080,0.24,0.35,0.6,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2090,0.28,0.4,0.7,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2100,0.3,0.45,0.81,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2110,0.34,0.52,0.92,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2120,0.36,0.58,1.03,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2130,0.39,0.63,1.13,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2140,0.41,0.68,1.24,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2150,0.43,0.73,1.35,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2160,0.45,0.79,1.46,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2170,0.47,0.84,1.57,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2180,0.49,0.9,1.69,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2190,0.51,0.96,1.8,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2200,0.53,1.01,1.92,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2210,0.55,1.07,2.04,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2220,0.57,1.12,2.16,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2230,0.58,1.18,2.27,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2240,0.6,1.23,2.39,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2250,0.62,1.28,2.51,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2260,0.63,1.32,2.63,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2270,0.65,1.37,2.74,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2280,0.67,1.42,2.87,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2290,0.68,1.46,2.98,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2300,0.7,1.51,3.11,176.6249,-40.4451,"SSP1-2.6 (low confidence)"
2345,2005,0,0,0,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2020,0.04,0.06,0.1,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2030,0.08,0.11,0.16,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2040,0.12,0.16,0.25,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2050,0.17,0.23,0.34,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2060,0.21,0.29,0.44,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2070,0.26,0.36,0.55,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2080,0.32,0.43,0.67,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2090,0.37,0.5,0.78,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2100,0.43,0.58,0.91,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2110,0.48,0.68,1.05,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2120,0.53,0.76,1.18,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2130,0.58,0.84,1.31,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2140,0.63,0.93,1.45,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2150,0.68,1.01,1.58,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2160,0.73,1.1,1.72,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2170,0.78,1.19,1.85,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2180,0.82,1.27,1.99,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2190,0.86,1.36,2.12,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2200,0.91,1.44,2.26,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2210,0.94,1.52,2.39,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2220,0.98,1.6,2.52,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
2345,2230,1.02,1.67,2.66,176.6249,-40.4451,"SSP2-4.5 (low confidence)"
